shortlist_date,posting_date,match,title,company,location,source,track,assessment,url,priority,application_status,deadline,applied_date,result,next_action
2026-09-06,2026-09-05,B,Global SCADA Project Manager,Vestas,Aarhus N,LinkedIn,2 + 4,"Stærkt sektormatch i vind og god kobling til teknisk projekt/programledelse, stakeholder management og operationalisering på tværs af engineering, R&D og digitale løsninger. Gap: ingen direkte SCADA/control-system-erfaring.",https://www.linkedin.com/jobs/view/4462657732,Mellem,Ikke søgt,2026-09-07,,,
2026-09-06,2026-08-31,C,Strategy Development Specialist,UN Environment Programme / Climate Technology Centre and Network (CTCN),København,LinkedIn,4,"Meget relevant klima- og teknologistrategi, stakeholder-dialog og programudvikling for Climate Technology Centre and Network. Stretch pga. senior konsulentprofil og krav om omfattende strategisk/UNFCCC-relateret erfaring.",https://www.linkedin.com/jobs/view/4462367556,Lav,Ikke søgt,2026-09-07,,,
2026-09-06,2026-09-06,C,Scientific Fundraiser: DTU Centre for Absolute Sustainability - DTU Sustain,DTU - Danmarks Tekniske Universitet,Kgs. Lyngby,Jobindex,1,"Emnemæssigt meget tæt på absolute sustainability og teknisk miljøvurdering. Selve rollen fokuserer dog på forskningsfundraising, koordinering og scientific writing, hvor dokumenteret grant-writing-erfaring er hovedgap.",https://www.jobindex.dk/jobannonce/h1690814,Lav,Ikke søgt,2026-10-04,,,
2026-09-05,2026-09-04,A,Sustainability Data Project Manager,Novo Nordisk A/S,Bagsværd,Jobindex / LinkedIn,1,"Meget stærkt match i krydsfeltet mellem sustainability, teknologi og data: projektledelse, BI, integration/automatisering af sustainability-data og stakeholder management. Gap: opslaget lægger vægt på +5 års business/data-erfaring i større corporate setup.",https://www.jobindex.dk/jobannonce/r13981870,Høj,Ikke søgt,2026-09-11,,,
2026-09-05,2026-09-04,A,Projektleder med blik for helheden – og struktur på projekterne,Klimatorium - Danmarks Internationale Klimacenter,Lemvig,Jobindex / LinkedIn,1 + 4,"Stærkt match på klima som kerneformål, projektledelse, struktur, tværgående samarbejde og omsætning af klimaprojekter til handling. God bro mellem sustainability-erfaring og operationel projektledelse.",https://www.jobindex.dk/jobannonce/h1695987,Høj,Ikke søgt,2026-09-21,,,
2026-09-05,2026-09-04,B,Lead Sustainability Data Scientist,Novo Nordisk A/S,Bagsværd,Jobindex / LinkedIn,1,"Direkte sustainability-data, forecasting, data products og AI/analytics. Stærkt emnematch, men rollen kræver tungere data science/data engineering og typisk Python/AI-erfaring end dokumenteret i profilen.",https://www.jobindex.dk/jobannonce/r13981873,Mellem,Ikke søgt,,,,
2026-09-05,2026-09-04,B,Bliv vores nye analytiker i fremtidens vand- og varmeforsyning,EWII,Kolding,LinkedIn,2,"Relevant grøn forsyningskontekst med analyser, simuleringer, beslutningsgrundlag og formidling. Godt ingeniør-/data-match; gap på hydrauliske modeller og specifik vand-/fjernvarmeplanlægning.",https://www.linkedin.com/jobs/view/4463302929,Mellem,Ikke søgt,,,,
2026-09-05,2026-09-04,C,Product Manager SCADA,Siemens Energy,København / Vejle,LinkedIn,3,"Stærkt sektormatch i vind/energi og godt overlap med stakeholder management, teknisk værdiskabelse og produktretning. Gap: konkret SCADA/OT, vinddrift og dokumenteret Product Manager-erfaring.",https://www.linkedin.com/jobs/view/4462318002,Lav,Ikke søgt,,,,
2026-09-05,2026-09-04,C,Dataspecialist,Kalundborg Forsyning A/S,Kalundborg,Jobindex,2 + 4,"Relevant forsynings- og bæredygtighedskontekst samt Power BI, dataindsamling og strategiske BI-projekter. Rollen er dog primært data/digitalisering og kræver dybere dataplatform/SQL/Python-kompetencer.",https://www.jobindex.dk/jobannonce/h1695796,Lav,Ikke søgt,2026-09-17,,,
,2026-09-04,B,Technical Compliance Specialist til dansk sensorproducent,HB Products,Hasselager,Jobindex,1,"Stærkt match på teknisk produktcompliance, materiale-/værdikædedata, DPP, ESG og kundedata. Gap: de ønsker specifik elektronik-compliance og international produktregulering.",https://www.jobindex.dk/jobannonce/h1687728,Mellem,Ikke søgt,ASAP,,,
,2026-09-04,B,Project Manager,Liftra,Aalborg,LinkedIn,2,Engineering + projektledelse i vind; gap på direkte vindbrancheerfaring.,https://www.linkedin.com/jobs/view/4462800129,Mellem,Ikke søgt,,,,
,2026-09-04,B,Engineering Manager søges til ambitiøs virksomhed indenfor grøn omstilling,Lundsby Renewable Solutions A/S,Løgstrup / Middelfart,Jobindex,2 + 4,"Meget relevant biogas/grøn energi, teknisk projektledelse, kundekrav, leverandørstyring og tværfaglig koordinering. Gap: P&ID/anlægsdesign og specifik biogas-/commissioning-erfaring.",https://www.jobindex.dk/jobannonce/h1687270,Mellem,Ikke søgt,ASAP,,,
,2026-09-04,B,Climate Reporting & Assurance Manager,DFDS,København,LinkedIn,1,Stærkt CSRD/GHG/climate-data-match; gap på hands-on ledelse af assurance/auditprocesser.,https://www.linkedin.com/jobs/view/4462829983,Mellem,Ikke søgt,,,,
,2026-09-04,C,Senior Strategy Manager,Topsoe,Lyngby,LinkedIn,4,Ideel decarboniseringssektor; stort gap på 8+ års strategy/consulting/business-development erfaring.,https://www.linkedin.com/jobs/view/4443790300,Lav,Ikke søgt,,,,
,2026-09-04,C,Projektledere til Offshore Wind & Special Marine Projects,Per Aarsleff A/S,Viby J / Glostrup,Jobindex,2,Direkte grøn energisektor og relevant projektleder-/ingeniørprofil. Gap: offshore wind/marine execution-erfaring er sandsynligvis central og ikke en dokumenteret kerne i profilen.,https://www.jobindex.dk/jobannonce/h1687557,Lav,Ikke søgt,2026-09-15,,,
,2026-09-04,C,Fleet Energy Efficiency Projects – Superintendent,DFDS,København,LinkedIn,2,Meget relevant decarbonisering og energieffektivisering; marine engineering/naval architecture er hovedgap.,https://www.linkedin.com/jobs/view/4453121832,Lav,Ikke søgt,,,,
,2026-09-04,C,Compliance & Sustainability Manager,Plandent,Vallensbæk,LinkedIn,1,"God sustainability/operationalisering; stor del bred compliance, GDPR, MDR og kvalitetsledelse.",https://www.linkedin.com/jobs/view/4460499847,Lav,Ikke søgt,,,,
,2026-09-04,C,Applikations ingeniør – Idriftsættelse og drift af BESS/EMS,SoftControl A/S,Vodskov / Aalborg,LinkedIn,2,"Meget relevant BESS/EMS- og energiomstillingsteknologi, kundebindeled og idriftsættelse. Gap: rollen kræver god elektrisk forståelse og er mere drifts-/commissioning-tung end din nuværende profil.",https://www.linkedin.com/jobs/view/4462828036,Lav,Ikke søgt,ASAP,,,
,2026-09-03,A,"Medarbejder til Danmarks klimafremskrivning i Klima-, Energi- og Forsyningsministeriet","Klima-, Energi- og Forsyningsministeriet",København K,LinkedIn,1,"Meget stærkt match: klimafremskrivning, energi- og emissionsopgørelser, større datamængder, metodeudvikling og formidling til politiske beslutningstagere. Din ingeniør-/klimaprofil, Scope 1-3/LCA-erfaring og evne til at operationalisere komplekse klimadata passer godt. Mindre gap: ingen dokumenteret erfaring fra centraladministrationen, men opslaget angiver dette som en fordel, ikke et krav.",https://www.linkedin.com/jobs/view/4462155965,Høj,Ikke søgt,,,,
,2026-09-03,B,"Sustainability, Markets & Channels Specialist – LEGO Licensing & Extended Line",LEGO System A/S,Billund,Jobindex,1,Sustainability + produkt/design + eksterne partnere; mere market-facing end kerneprofilen.,https://www.jobindex.dk/jobannonce/r13980087,Mellem,Ikke søgt,,,,
,2026-09-03,C,Teamleder med personaleansvar – Cirkulær Økonomi,Energistyrelsen,Odense,Jobindex,1 + 4,Stærkt emnematch på cirkularitet og operationalisering; personaleledelse og myndighedsdrift gør den stretch.,https://www.jobindex.dk/jobannonce/h1695401,Lav,Ikke søgt,,,,
,2026-09-03,C,"Product Manager, Hull Performance",Hempel A/S,Kongens Lyngby,Jobindex,3,Engineering + kundeværdi + energieffektivitet; gap på product management og marine/hull performance.,https://www.jobindex.dk/jobannonce/r13980480,Lav,Ikke søgt,,,,
,2026-09-03,C,Country Manager – Danish Market,Ento,København,Jobindex,4,Energieffektivisering og kundeværdi; rollen er meget salgs-/GTM- og revenue-tung.,https://www.jobindex.dk/jobannonce/r13980287,Lav,Ikke søgt,,,,
,2026-09-02,A,Global ESG Engineer,AAK,Aarhus,Jobindex / LinkedIn,1,"Meget direkte ESG + engineering-kombination og global operationalisering; stærkt match til ESG-data, Scope 1-3 og teknisk baggrund.",https://www.linkedin.com/jobs/view/4460979127,Høj,Ikke søgt,,,,
,2026-09-02,B,ESG & Environmental Manager,Teradyne,Odense,LinkedIn,1,Direkte ESG- og miljøledelse i teknologivirksomhed; godt match til Sustainability Manager-erfaring. Gap afhænger af EHS/compliance-vægt.,https://www.linkedin.com/jobs/view/4440448541,Mellem,Ikke søgt,,,,
,2026-09-02,C,Technology Specialist – Carbon Capture Technology,NES Fircroft,Capital Region,LinkedIn,2,Meget stærkt sektormatch på CCUS og engineering; gap på specifik carbon-capture proces-/teknologiekspertise.,https://www.linkedin.com/jobs/view/4462154192,Lav,Ikke søgt,,,,
,2026-09-02,C,Strategy & Business Development Manager,ROCKWOOL Group,Hedehusene,LinkedIn,4,Grøn industri/energieffektivitet opfylder sektorkravet; relevant strategi og kundeværdi. Gap på business-development track record.,https://www.linkedin.com/jobs/view/4462409283,Lav,Ikke søgt,,,,
,2026-09-02,C,"Senior Director, Head of Sustainable Materials Strategy & Standards",LEGO Group,Billund / ikke angivet,LinkedIn,1 + 3,"Sustainable materials, strategi og standarder er meget relevant; senioritets-/personaleledelsesniveau gør rollen stretch.",https://www.linkedin.com/jobs/view/4459961562,Lav,Ikke søgt,,,,
,2026-09-02,C,"Head of Performance, Energy & Emission – Maersk Tankers",MARPRO Group,København,LinkedIn,2 + 4,Direkte energi- og emissionsperformance/decarbonisering; gap på maritim drifts- og ledelseserfaring.,https://www.linkedin.com/jobs/view/4449867719,Lav,Ikke søgt,,,,
,2026-08-24,B/C,"Senior Innovation Engineer, Liquid Cooling",Danfoss,Kolding / Nordborg / København,LinkedIn,2 + 3,Engineering og innovation i energieffektiv teknologi; gap på dyb cooling/product-development specialisering.,,Mellem,Ikke søgt,,,,
,2026-08-24,C,Kommerciel projektchef,Sweco,Aarhus,LinkedIn,4,Relevant grøn rådgivningssektor og projekt-/kundeværdi; gap på kommercielt projektchefansvar.,,Lav,Ikke søgt,,,,
,2026-08-24,C,Energiplanlægger,Sweco,Aalborg,LinkedIn,2 + 4,Direkte energiomstilling og planlægning; gap på specifik energiplanlægnings-/rådgivererfaring.,,Lav,Ikke søgt,,,,
,2026-08-22,A,Group Sustainability Manager,Royal Unibrew,Faxe,LinkedIn,1,"Nær-direkte match på sustainability-strategi, ESG-data, leverandører og ledelse; stærkt match til Sustainability Manager-profil.",,Høj,Ikke søgt,,,,
,2026-08-22,B/C,Strategisk indkøber – Category Management & Udbud,Energinet,Ballerup,Jobindex / LinkedIn,2 + 4,"Grøn energisektor, værdikæde og leverandørarbejde passer; gap på tung strategisk procurement/category management.",https://www.jobindex.dk/jobannonce/h1691651,Mellem,Ikke søgt,,,,
,2026-08-22,B,Environmental Process Specialist,Danfoss,Silkeborg,LinkedIn,1 + 2,Miljø-/procesarbejde i industrivirksomhed; god kombination af engineering og sustainability. Gap: mere proces-/miljøspecialist end LCA/ESG.,https://www.linkedin.com/jobs/view/4439035476,Mellem,Ikke søgt,,,,
,2026-08-22,B,Environmental & Energy Management Systems Program Manager,Google,Fredericia,LinkedIn,1 + 4,"Miljø- og energiledelsessystemer, programstyring og operationalisering. Gap: datacenter-/management-system-erfaring.",https://www.linkedin.com/jobs/view/4456221323,Mellem,Ikke søgt,,,,
,2026-08-22,C,Senior Product Manager,Too Good To Go,København,LinkedIn / Jobindex,3,Direkte sustainability-forretning og produkt/innovation; gap på klassisk product-management track record.,https://www.linkedin.com/jobs/view/4456205957,Lav,Ikke søgt,,,,
,2026-08-22,C,R&D Development Engineer,Alfa Laval,Kolding,LinkedIn,2 + 3,Teknisk produktudvikling i energieffektiv industriel teknologi; gap på specifik R&D-domæneerfaring.,https://www.linkedin.com/jobs/view/4447001970,Lav,Ikke søgt,,,,
,2026-08-14,C,Product Manager - Energy Storage & Hybrids,Vestas,Aarhus N,LinkedIn,3,Meget relevant batteri-/hybridenergi og produktstrategi i energiomstillingen. God engineering- og kundeværdi-kobling; gap på dokumenteret Product Management/Business Development direkte fra energy storage/power systems.,https://www.linkedin.com/jobs/view/4454563848,Lav,Ikke søgt,,,,
